Time,Source Balance,Environment Balance
1716660414374,999.9999999999654,1.7965692763131202e-11
,,
1716660415376,999.9999999999653,1.802478228930437e-11
,,
1716660416378,999.9999999999652,1.808387181547754e-11
,,
1716660417379,999.9999999999651,1.8142902370067704e-11
,,
1716660418381,999.999999999965,1.8201991896240873e-11
,,
1716660419382,999.9999999999649,1.8261022450831036e-11
,,
1716660420384,999.9999999999648,1.8320111977004206e-11
,,1716660421389,999.9999999999646,1.8379378417926395e-11
,,
1716660422391,999.9999999999645,1.8438467944099565e-11
,,
1716660423392,999.9999999999644,1.8497498498689728e-11
,,
1716660424394,999.9999999999643,1.8556588024862897e-11
,,
1716660425395,999.9999999999642,1.861561857945306e-11
,,
1716660426397,999.9999999999641,1.867470810562623e-11
,,
1716660427398,999.999999999964,1.8733738660216392e-11
,,
1716660428400,999.9999999999638,1.8792828186389562e-11
,,
1716660429402,999.9999999999637,1.885191771256273e-11
,,
1716660430403,999.9999999999636,1.8910948267152894e-11
,,1716660431409,999.9999999999635,1.897027367965809e-11
,,
1716660432410,999.9999999999634,1.9029304234248253e-11
,,
1716660433412,999.9999999999633,1.9088393760421423e-11
,,
1716660434414,999.9999999999632,1.9147483286594592e-11
,,
1716660435415,999.999999999963,1.9206513841184755e-11
,,
1716660436416,999.9999999999629,1.9265544395774918e-11
,,
1716660437416,999.9999999999628,1.932451597878207e-11
,,
1716660438418,999.9999999999627,1.938360550495524e-11
,,
1716660439419,999.9999999999626,1.9442636059545404e-11
,,
1716660440421,999.9999999999625,1.9501725585718573e-11
,,1716660441427,999.9999999999624,1.956105099822377e-11
,,
1716660442429,999.9999999999623,1.962014052439694e-11
,,
1716660443430,999.9999999999621,1.96791710789871e-11
,,
1716660444432,999.999999999962,1.9738260605160268e-11
,,
1716660445433,999.9999999999619,1.9797291159750428e-11
,,
1716660446435,999.9999999999618,1.9856380685923597e-11
,,
1716660447436,999.9999999999617,1.9915411240513757e-11
,,
1716660448438,999.9999999999616,1.9974500766686926e-11
,,
1716660449439,999.9999999999615,2.0033531321277086e-11
,,
1716660450440,999.9999999999613,2.0092561875867246e-11
,,1716660451446,999.9999999999612,2.0151887288372442e-11
,,
1716660452448,999.9999999999611,2.021097681454561e-11
,,
1716660453449,999.999999999961,2.027000736913577e-11
,,
1716660454451,999.9999999999609,2.032909689530894e-11
,,
1716660455452,999.9999999999608,2.03881274498991e-11
,,
1716660456454,999.9999999999607,2.044721697607227e-11
,,
1716660457455,999.9999999999606,2.050624753066243e-11
,,
1716660458456,999.9999999999604,2.056527808525259e-11
,,
1716660459458,999.9999999999603,2.0624367611425755e-11
,,
1716660460459,999.9999999999602,2.0683398166015915e-11
,,1716660461465,999.9999999999601,2.074272357852111e-11
,,
1716660462466,999.99999999996,2.080175413311127e-11
,,
1716660463468,999.9999999999599,2.0860843659284437e-11
,,
1716660464469,999.9999999999598,2.0919874213874597e-11
,,
1716660465471,999.9999999999596,2.0978963740047763e-11
,,
1716660466472,999.9999999999595,2.1037994294637923e-11
,,
1716660467473,999.9999999999594,2.1097024849228082e-11
,,
1716660468474,999.9999999999593,2.1156055403818242e-11
,,
1716660469474,999.9999999999592,2.1215026986825395e-11
,,
1716660470476,999.9999999999591,2.127411651299856e-11
,,1716660471481,999.999999999959,2.133338295392075e-11
,,
1716660472482,999.9999999999588,2.139241350851091e-11
,,
1716660473482,999.9999999999587,2.1451385091518063e-11
,,
1716660474484,999.9999999999586,2.151047461769123e-11
,,
1716660475485,999.9999999999585,2.156950517228139e-11
,,
1716660476487,999.9999999999584,2.1628594698454556e-11
,,
1716660477488,999.9999999999583,2.1687625253044715e-11
,,
1716660478490,999.9999999999582,2.174671477921788e-11
,,
1716660479491,999.999999999958,2.180574533380804e-11
,,
1716660480493,999.9999999999579,2.1864834859981207e-11
,,1716660481498,999.9999999999578,2.1924101300903397e-11
,,
1716660482499,999.9999999999577,2.1983131855493557e-11
,,
1716660483501,999.9999999999576,2.2042221381666723e-11
,,
1716660484503,999.9999999999575,2.210131090783989e-11
,,
1716660485503,999.9999999999574,2.2160282490847042e-11
,,
1716660486505,999.9999999999573,2.221937201702021e-11
,,
1716660487506,999.9999999999571,2.2278402571610368e-11
,,
1716660488508,999.999999999957,2.2337492097783534e-11
,,
1716660489510,999.9999999999569,2.23965816239567e-11
,,
1716660490510,999.9999999999568,2.2455553206963854e-11
,,1716660491516,999.9999999999567,2.251487861946905e-11
,,
1716660492517,999.9999999999566,2.257390917405921e-11
,,
1716660493518,999.9999999999565,2.263293972864937e-11
,,
1716660494520,999.9999999999563,2.2692029254822535e-11
,,
1716660495521,999.9999999999562,2.2751059809412695e-11
,,
1716660496523,999.9999999999561,2.281014933558586e-11
,,
1716660497523,999.999999999956,2.2869120918593014e-11
,,
1716660498525,999.9999999999559,2.292821044476618e-11
,,
1716660499526,999.9999999999558,2.298724099935634e-11
,,
1716660500528,999.9999999999557,2.3046330525529507e-11
,,1716660501534,999.9999999999555,2.3105655938034703e-11
,,
1716660502535,999.9999999999554,2.3164686492624862e-11
,,
1716660503537,999.9999999999553,2.322377601879803e-11
,,
1716660504538,999.9999999999552,2.3282806573388188e-11
,,
1716660505540,999.9999999999551,2.3341896099561355e-11
,,
1716660506541,999.999999999955,2.3400926654151514e-11
,,
1716660507543,999.9999999999549,2.346001618032468e-11
,,
1716660508544,999.9999999999548,2.351904673491484e-11
,,
1716660509545,999.9999999999546,2.3578077289505e-11
,,
1716660510546,999.9999999999545,2.363710784409516e-11
,,1716660511551,999.9999999999544,2.3696374285017346e-11
,,
1716660512553,999.9999999999543,2.3755463811190512e-11
,,
1716660513554,999.9999999999542,2.3814494365780672e-11
,,
1716660514555,999.9999999999541,2.387352492037083e-11
,,
1716660515558,999.999999999954,2.3932673418127004e-11
,,
1716660516559,999.9999999999538,2.3991703972717164e-11
,,
1716660517561,999.9999999999537,2.405079349889033e-11
,,
1716660518562,999.9999999999536,2.410982405348049e-11
,,
1716660519563,999.9999999999535,2.416885460807065e-11
,,
1716660520565,999.9999999999534,2.4227944134243816e-11
,,1716660521571,999.9999999999533,2.428726954674901e-11
,,
1716660522571,999.9999999999532,2.4346241129756162e-11
,,
1716660523573,999.999999999953,2.4405330655929328e-11
,,
1716660524574,999.9999999999529,2.4464361210519488e-11
,,
1716660525576,999.9999999999528,2.4523450736692654e-11
,,
1716660526577,999.9999999999527,2.4582481291282814e-11
,,
1716660527579,999.9999999999526,2.464157081745598e-11
,,
1716660528580,999.9999999999525,2.470060137204614e-11
,,
1716660529582,999.9999999999524,2.4759690898219306e-11
,,
1716660530583,999.9999999999523,2.4818721452809466e-11
,,1716660531585,999.9999999999521,2.4877810978982632e-11
,,
1716660532587,999.999999999952,2.4936900505155798e-11
,,
1716660533587,999.9999999999519,2.4995872088162948e-11
,,
1716660534587,999.9999999999518,2.5054843671170098e-11
,,
1716660535589,999.9999999999517,2.5113933197343264e-11
,,
1716660536590,999.9999999999516,2.5172963751933424e-11
,,
1716660537592,999.9999999999515,2.523205327810659e-11
,,
1716660538593,999.9999999999513,2.529108383269675e-11
,,
1716660539594,999.9999999999512,2.535011438728691e-11
,,
1716660540596,999.9999999999511,2.5409203913460075e-11
,,1716660541601,999.999999999951,2.5468470354382262e-11
,,
1716660542603,999.9999999999509,2.5527559880555428e-11
,,
1716660543602,999.9999999999508,2.558647249197957e-11
,,
1716660544604,999.9999999999507,2.5645562018152737e-11
,,
1716660545604,999.9999999999505,2.5704533601159887e-11
,,
1716660546606,999.9999999999504,2.5763623127333053e-11
,,
1716660547608,999.9999999999503,2.582271265350622e-11
